,0
0,Apple iPhone X
1,Apple iPhone 8 Plus
2,Apple iPhone 8
3,Apple iPhone 7 Plus
4,Apple iPhone 7
5,Apple iPhone SE
6,Apple iPhone 6s Plus
7,Apple iPhone 6s
8,Apple iPhone 6 Plus
9,Apple iPhone 6
10,Apple iPhone 4s
11,Google Pixel 2
12,Google Pixel 2 XL
13,Google Pixel XL
14,Huawei Honor 9N (9i)
15,Huawei P Smart+ (nova 3i)
16,Huawei nova 3
17,Huawei Honor Play
18,Huawei P20 Pro
19,Huawei P20 lite
20,Huawei Honor 7C
21,Huawei Honor 9 Lite
22,Huawei Honor 7X
23,Huawei Honor View 10
24,Huawei P9 lite mini
25,Huawei Honor 9
26,Huawei Honor 8 Pro
27,Huawei Honor Holly 3
28,Huawei Honor 8
29,Huawei P9
30,Huawei Honor Holly 2 Plus
31,Huawei Honor 5X
32,Motorola Moto E5 Plus
33,Motorola Moto G6 Play
34,Motorola Moto G6
35,Motorola Moto X4
36,Motorola Moto G5S Plus
37,Motorola Moto G5S
38,Motorola Moto E4 Plus
39,Motorola Moto Z2 Play
40,Motorola Moto C
41,Motorola Moto G5 Plus
42,Motorola Moto G5
43,Motorola Moto M
44,Motorola Moto E3 Power
45,Motorola Moto Z Play
46,Motorola Moto G Turbo Edition
47,Motorola Moto X Force
48,Nokia 6.1 Plus (Nokia X6)
49,Nokia 5.1
50,Nokia 3.1
51,Nokia 2.1
52,Nokia 8 Sirocco
53,Nokia 7 plus
54,Nokia 6.1
55,Nokia 2
56,Nokia 8
57,Nokia 3
58,Nokia 5
59,Nokia Lumia 730 Dual SIM
60,Nokia Lumia 930
61,Nokia XL
62,Nokia Lumia 1320
63,Oppo F9 (F9 Pro)
64,Oppo A3s
65,Oppo A5
66,Oppo F7 Youth
67,Oppo Realme 1
68,Oppo A3
69,Oppo A1
70,Oppo A71 (2018)
71,Oppo A83
72,Oppo F5 Youth
73,Oppo A71
74,Oppo F3
75,Samsung Galaxy Note9
76,Samsung Galaxy J6+
77,Samsung Galaxy J4+
78,Samsung Galaxy J2 Core
79,Samsung Galaxy A8 Star (A9 Star)
80,Samsung Galaxy J8
81,Samsung Galaxy J6
82,Samsung Galaxy J4
83,Samsung Galaxy A6+ (2018)
84,Samsung Galaxy A6 (2018)
85,Samsung Galaxy S9+
86,Samsung Galaxy J2 Pro (2018)
87,Samsung Galaxy A8+ (2018)
88,Samsung Galaxy J2 (2017)
89,Samsung Galaxy C7 (2017)
90,Samsung Galaxy Note8
91,Samsung Galaxy J7 Max
92,Samsung Galaxy J7 Pro
93,Samsung Galaxy C7 Pro
94,Samsung Galaxy On7 (2016)
95,Samsung Galaxy On5 Pro
96,Samsung Galaxy S7 edge
97,vivo V11 (V11 Pro)
98,vivo Y83 Pro
99,vivo Y83
100,vivo Y81
101,vivo Y53i
102,vivo Y71
103,vivo V9
104,vivo V7+
105,vivo Y69
106,vivo Y53
107,vivo V5s
108,vivo V5 Plus
109,vivo V1
110,vivo V1 Max
111,vivo X5Max
